,city,state,num_jobs,latitude,longitude
134,Jackson,MS,2,32.2987573,-90.1848103
135,Garden Grove,CA,29,33.7742692,-117.9379952
136,Oceanside,CA,8,33.1958696,-117.3794834
137,Chattanooga,TN,8,35.0456297,-85.3096801
138,Fort Lauderdale,FL,9,26.1224386,-80.1373174
139,Rancho Cucamonga,CA,3,34.1063989,-117.5931084
140,Santa Rosa,CA,57,38.440429,-122.7140548
141,Port St. Lucie,FL,2,27.2730492,-80.3582261
142,Ontario,CA,8,34.0633443,-117.6508876
143,Tempe,AZ,19,33.4255104,-111.9400054
144,Vancouver,WA,14,45.6318397,-122.6716063
145,Springfield,MO,1,37.2089572,-93.2922989
146,Cape Coral,FL,2,26.5628537,
147,Pembroke Pines,FL,6,26.007765,-80.2962555
148,Sioux Falls,SD,12,43.5445959,-96.7311034
149,Peoria,AZ,17,33.5805955,-112.2373779
150,Lancaster,CA,1,34.6867846,-118.1541632
151,Elk Grove,CA,5,38.4087993,-121.3716178
152,Corona,CA,25,33.8752935,-117.5664384
153,Eugene,OR,12,44.0520691,-123.0867536
154,Salem,OR,6,44.9428975,-123.0350963
155,Palmdale,CA,1,34.5794343,-118.1164613
156,Salinas,CA,1,36.6777372,-121.6555013
157,Springfield,MA,32,42.1014831,-72.589811
158,Pasadena,TX,31,29.6910625,-95.2091006
159,Rockford,IL,1,42.2711311,-89.0939952
160,Pomona,CA,20,34.055103,-117.7499909
161,Hayward,CA,587,37.6688205,-122.0807964
162,Fort Collins,CO,11,40.5852602,-105.084423
163,Joliet,IL,2,41.525031,-88.0817251
164,Escondido,CA,11,33.1192068,-117.086421
165,Kansas City,KS,13,39.114053,-94.6274636
166,Torrance,CA,80,33.8358492,-118.3406288
167,Bridgeport,CT,15,41.1865478,-73.1951767
168,Alexandria,VA,328,38.8048355,-77.0469214
169,Sunnyvale,CA,435,37.36883,-122.0363496
170,Cary,NC,43,35.79154,-78.7811169
171,Lakewood,CO,63,39.7047095,-105.0813734
172,Hollywood,FL,10,26.0112014,-80.1494901
173,Paterson,NJ,425,40.9167654,-74.171811
174,Syracuse,NY,26,43.0481221,-76.1474244
175,Naperville,IL,14,41.7508391,-88.1535352
176,McKinney,TX,38,33.1972465,
177,Mesquite,TX,84,32.7667955,-96.5991593
178,Clarksville,TN,1,36.5297706,-87.3594528
179,Savannah,GA,4,32.0835407,-81.0998342
180,Dayton,OH,2,39.7589478,-84.1916069
181,Orange,CA,28,33.7879139,-117.8531007
182,Fullerton,CA,76,33.8703645,-117.9242123
183,Pasadena,CA,84,34.1477849,-118.1445155
184,Hampton,VA,10,37.0298687,-76.3452218
185,McAllen,TX,5,26.2034071,-98.2300124
186,Killeen,TX,7,31.1171194,-97.7277959
187,Warren,MI,46,42.5144566,-83.0146526
188,West Valley City,UT,21,40.6916132,-112.0010501
189,Columbia,SC,3,34.0007104,-81.0348144
190,New Haven,CT,7,41.308274,-72.9278835
191,Sterling Heights,MI,43,42.5803122,-83.0302033
192,Olathe,KS,12,38.8813958,-94.8191285
193,Miramar,FL,6,25.9860762,-80.3035602
194,Thousand Oaks,CA,22,34.1705609,-118.8375937
195,Frisco,TX,64,33.1506744,-96.8236116
196,Cedar Rapids,IA,25,41.9778795,-91.6656232
197,Topeka,KS,3,39.0558235,-95.6890185
198,Visalia,CA,3,36.3302284,-119.2920585
199,Waco,TX,2,31.549333,-97.1466695
200,Elizabeth,NJ,446,40.6639916,-74.2107006
201,Bellevue,WA,269,47.6101497,-122.2015159
202,Gainesville,FL,25,29.6516344,-82.3248262
203,Simi Valley,CA,20,34.2694474,-118.781482
204,Charleston,SC,2,32.7764749,-79.9310512
205,Carrollton,TX,93,32.9756415,-96.8899636
206,Coral Springs,FL,6,26.271192,-80.2706044
207,Stamford,CT,23,41.0534302,-73.5387341
208,Hartford,CT,35,41.7637111,-72.6850932
209,Concord,CA,83,37.9779776,-122.0310733
210,Roseville,CA,5,38.7521235,-121.2880059
211,Thornton,CO,63,39.8680412,-104.9719243
212,Kent,WA,272,47.3809335,-122.2348431
213,Lafayette,LA,1,30.2240897,-92.0198427
214,Surprise,AZ,8,33.6292337,
215,Denton,TX,13,33.2148412,
216,Victorville,CA,18,34.5362184,
217,Evansville,IN,2,37.9715592,-87.5710898
218,Midland,TX,5,31.9973456,-102.0779146
219,Santa Clara,CA,418,37.3541079,-121.9552356
220,Athens,GA,5,33.9519347,-83.357567
221,Allentown,PA,18,40.6084305,-75.4901833
222,Abilene,TX,"['Abilene', 'TX', 0]",32.4487364,-99.7331439
223,Beaumont,TX,2,30.080174,-94.1265562
224,Vallejo,CA,258,38.1040864,-122.2566367
225,Independence,MO,12,39.0911161,-94.4155068
226,Springfield,IL,2,39.7817213,-89.6501481
227,Ann Arbor,MI,9,42.2808256,-83.7430378
228,Provo,UT,6,40.2338438,-111.6585337
229,Peoria,IL,10,40.6936488,-89.5889864
230,Norman,OK,3,35.2225668,-97.4394777
231,Berkeley,CA,324,37.8715926,-122.272747
232,El Monte,CA,74,34.0686206,-118.0275667
233,Murfreesboro,TN,6,35.8456213,-86.39027
234,Lansing,MI,5,42.732535,-84.5555347
235,Columbia,MO,10,38.9517053,-92.3340724
236,Downey,CA,84,33.9401088,-118.1331593
237,Costa Mesa,CA,25,33.6412156,-117.9188221
238,Inglewood,CA,85,33.9616801,-118.3531311
239,Miami Gardens,FL,5,25.9420377,-80.2456045
240,Manchester,NH,23,42.9956397,-71.4547891
241,Elgin,IL,25,42.0354084,-88.2825668
242,Wilmington,NC,8,34.2257255,-77.9447102
243,Waterbury,CT,34,41.5581525,-73.0514965
244,Fargo,ND,4,46.8771863,-96.7898034
245,Arvada,CO,63,39.8027644,-105.0874842
246,Carlsbad,CA,8,33.1580933,-117.3505939
247,Westminster,CO,63,39.8366528,
248,Rochester,MN,3,44.0121221,-92.4801989
249,Gresham,OR,14,45.5001357,-122.4302013
250,Clearwater,FL,15,27.9658533,-82.8001026
251,Lowell,MA,184,42.6334247,-71.3161718
252,West Jordan,UT,18,40.6096698,-111.9391031
253,Pueblo,CO,2,38.2544472,-104.6091409
254,San Buenaventura (Ventura),CA,"['San+Buenaventura+(Ventura)', 'CA', 0]",34.274646,-119.2290316
255,Fairfield,CA,2,38.2493581,-122.0399663
256,West Covina,CA,62,34.0686208,-117.9389526
257,Billings,MT,1,45.7832856,-108.5006904
258,Murrieta,CA,1,33.5539143,-117.2139232
259,High Point,NC,4,35.9556923,-80.0053176
260,Round Rock,TX,51,30.5082551,-97.678896
261,Richmond,CA,289,37.9357576,-122.3477486
262,Cambridge,MA,184,42.3736158,-71.1097335
263,Norwalk,CA,90,33.9022367,-118.081733
264,Odessa,TX,3,31.8456816,-102.3676431
265,Antioch,CA,27,38.0049214,-121.805789
266,Temecula,CA,21,33.4936391,-117.1483648
267,Green Bay,WI,5,44.519159,-88.019826
268,Everett,WA,56,47.9789848,-122.2020794
269,Wichita Falls,TX,"['Wichita+Falls', 'TX', 0]",33.9137085,-98.4933873
270,Burbank,CA,88,34.1808392,-118.3089661
271,Palm Bay,FL,2,28.0344621,-80.5886646
272,Centennial,CO,46,39.5807452,-104.8771726
273,Daly City,CA,358,37.6879241,-122.4702079
274,Richardson,TX,91,32.9483335,-96.7298519
275,Pompano Beach,FL,7,26.2378597,-80.1247667
276,Broken Arrow,OK,1,36.060949,-95.7974526
277,North Charleston,SC,2,32.8546197,-79.9748103
278,West Palm Beach,FL,4,26.7153424,-80.0533746
279,Boulder,CO,45,40.0149856,-105.2705456
280,Rialto,CA,1,34.1064001,-117.3703235
281,Santa Maria,CA,1,34.9530337,-120.4357191
282,El Cajon,CA,39,32.7947731,-116.9625269
283,Davenport,IA,1,41.5236437,-90.5776367
284,Erie,PA,"['Erie', 'PA', 0]",42.1292241,-80.085059
285,Las Cruces,NM,13,32.3199396,-106.7636538
286,South Bend,IN,7,41.6763545,-86.2519898
287,Flint,MI,1,43.0125274,-83.6874562
288,Kenosha,WI,4,42.5847425,-87.8211854
